"ID";"Donor_ID";"Payment_ID";"PaymentExternal_ID";"sum_confirmed";"timestamp_confirmed";"transaction_cost";"KID_fordeling";"inserted";"Meta_owner_ID"
1;27;3;"";20.0;"2018-03-30 01:01:52";3.18;"579675490";"";1
2;27;3;"";20.0;"2018-03-31 16:13:30";3.18;"51615227";"";1
3;37;3;"";500.0;"2018-04-20 14:20:00";12.3;"988748940";"";1
4;38;3;"";22.0;"2018-04-23 20:09:20";3.22;"75323188";"";1
5;28;3;"";100.0;"2018-05-04 12:52:04";4.7;"57945628";"";1
6;37;3;"";500.0;"2018-05-22 09:37:58";12.3;"788242730";"";1
7;52;3;"";100.0;"2018-05-27 21:02:23";4.7;"62598321";"";1
8;37;3;"";500.0;"2018-05-28 13:44:08";12.3;"156973860";"";1
9;28;3;"";100.0;"2018-06-04 13:17:56";4.7;"57945628";"";1
10;61;3;"";100.0;"2018-06-12 23:37:13";4.7;"949574790";"";1
11;62;3;"";21600.0;"2018-06-16 11:15:42";413.2;"55283386";"";1
12;30;4;"5553256188";200.0;"2018-03-30 00:00:00";3.5;"59211466";"";1
13;36;4;"5556246074";100.0;"2018-04-20 00:00:00";1.75;"59211466";"";1
14;39;4;"5557669349";750.0;"2018-04-28 00:00:00";13.13;"19179316";"";1
15;41;4;"5557797416";500.0;"2018-04-29 00:00:00";8.75;"41753666";"";1
16;46;4;"5559019743";1000.0;"2018-05-06 00:00:00";17.5;"66436114";"";1
17;49;4;"5561513804";150.0;"2018-05-20 00:00:00";2.63;"73565251";"";1
18;54;4;"5563280231";100.0;"2018-05-31 00:00:00";1.75;"83445353";"";1
19;55;4;"5563285575";100.0;"2018-05-31 00:00:00";1.75;"16391823";"";1
20;56;4;"5563374989";100.0;"2018-05-31 00:00:00";1.75;"34568949";"";1
21;37;3;"";750.0;"2018-06-20 10:39:39";17.05;"875369180";"";1
22;28;3;"";100.0;"2018-07-04 14:17:51";4.7;"57945628";"";1
23;71;3;"";100.0;"2018-07-05 22:00:15";4.7;"65892754";"";1
31;58;4;"5563703407";100.0;"2018-06-02 00:00:00";1.75;"27391945";"";1
32;59;4;"5563813227";100.0;"2018-06-02 00:00:00";1.75;"22359822";"";1
33;63;4;"5566514198";5000.0;"2018-06-16 00:00:00";87.5;"493127700";"";1
34;64;4;"5567300681";50.0;"2018-06-21 00:00:00";0.88;"75333286";"";1
35;65;4;"5567625441";500.0;"2018-06-22 00:00:00";8.75;"95856761";"";1
36;66;4;"5567969104";50.0;"2018-06-25 00:00:00";0.88;"54599618";"";1
37;49;4;"5568564924";150.0;"2018-06-28 00:00:00";2.63;"943669940";"";1
38;37;3;"";2200.0;"2018-07-19 20:16:24";44.6;"386366270";"";1
39;28;3;"";100.0;"2018-08-04 16:15:48";4.7;"57945628";"";1
40;71;3;"";100.0;"2018-08-05 14:50:41";4.7;"65892754";"";1
41;74;3;"";1000.0;"2018-08-05 18:08:10";21.8;"99395196";"";1
42;37;3;"";500.0;"2018-08-20 10:49:23";12.3;"328131720";"";1
43;76;3;"";150.0;"2018-08-28 15:18:36";5.65;"32129595";"";1
44;74;3;"";1000.0;"2018-09-02 17:53:48";21.8;"99395196";"";1
45;28;3;"";100.0;"2018-09-04 12:18:03";4.7;"57945628";"";1
46;71;3;"";100.0;"2018-09-05 17:16:07";4.7;"65892754";"";1
47;69;4;"5569389645";200.0;"2018-07-03 23:21:22";3.5;"662333470";"";1
48;72;4;"5570200860";8300.0;"2018-07-08 23:25:24";145.25;"135128350";"";1
49;72;4;"5579319272";1500.0;"2018-08-31 23:27:12";26.25;"129462400";"";1
50;28;3;"";100.0;"2018-10-04 16:56:20";4.7;"57945628";"";1
51;71;3;"";100.0;"2018-10-05 14:29:42";4.7;"65892754";"";1
52;37;3;"";500.0;"2018-10-19 09:52:13";12.3;"156973860";"";1
53;91;3;"";100.0;"2018-10-19 14:17:37";4.7;"66545377";"";1
54;37;3;"";500.0;"2018-10-19 14:58:25";12.3;"975799400";"";1
55;28;3;"";100.0;"2018-11-04 22:01:24";4.7;"57945628";"";1
56;71;3;"";100.0;"2018-11-05 12:57:22";4.7;"65892754";"";1
